HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
44210,Removal of large bowel with attachment of small bowel to rectum or creation of small bowel opening using an endoscope,N,F,648,796,795,796,5166.09,1525.76,1173.83,1181.63
44211,Removal of large bowel and rectum with attachment of small bowel to anus and creation of small bowel opening using an endoscope,N,F,83,88,88,88,10192.34,1904.49,1466.10,1459.44
44212,Removal of large bowel and rectum with creation of small bowel opening using an endoscope,N,F,211,246,246,246,6550.10,1739.71,1342.53,1322.88
44213,Partial release of large bowel using an endoscope,N,F,4700,12565,12544,12556,601.21,154.56,119.80,121.73
44213,Partial release of large bowel using an endoscope,N,O,10,15,15,15,358.02,88.56,69.34,76.03
44227,Closure of large or small bowel opening using an endoscope,N,F,1537,2133,2121,2133,4549.76,1271.48,984.47,974.54
44238,Bowel procedure using an endoscope,N,F,995,1333,1317,1322,3423.59,894.06,698.08,701.57
44300,"Insertion of small bowel tube, open procedure",N,F,1881,2514,2451,2513,2233.35,640.15,496.97,493.79
44310,Creation of small bowel feeding tube,N,F,3750,5601,5569,5593,2826.54,612.42,477.27,448.25
44312,Revision of small bowel opening and scar tissue release,N,F,503,601,577,601,1733.49,523.83,402.49,402.26
44314,Reconstruction of small bowel opening,N,F,827,982,954,982,2907.70,767.81,593.89,574.53
44316,Creation of small bowel pouch with valve,N,F,17,36,34,36,6396.63,1235.36,942.52,916.78
44320,Creation of large bowel drainage tract to skin surface,N,F,3593,4802,4787,4801,3209.08,995.77,774.96,770.38
44322,Creation of large bowel opening with multiple biopsies,N,F,29,29,29,29,2367.14,757.65,592.87,608.75
44340,Revision of large bowel opening and scar tissue release,N,F,612,679,654,679,1680.78,576.46,448.76,442.57
44340,Revision of large bowel opening and scar tissue release,N,O,18,25,20,25,1508.24,612.24,484.55,493.58
44345,Reconstruction of large bowel opening,N,F,753,843,813,842,2799.80,860.02,669.01,650.40
44346,Revision of large bowel opening and hernia repair,N,F,1245,1516,1485,1516,3214.54,937.73,726.50,726.90
44360,Examination of small bowel using an endoscope,N,F,3490,7340,7193,7340,781.73,160.21,124.05,126.19
44360,Examination of small bowel using an endoscope,N,O,42,51,50,51,695.04,139.16,105.70,109.11
44361,Biopsy of small bowel using an endoscope,N,F,3025,14093,13752,14093,1156.07,242.73,187.52,181.74
44361,Biopsy of small bowel using an endoscope,N,O,86,288,287,288,1019.41,102.52,76.87,74.98
44363,Removal of foreign bodies in small bowel using an endoscope,N,F,142,164,160,164,1061.90,180.19,138.19,135.32
44364,Removal of small bowel polyps or growths using an endoscope,N,F,311,456,440,456,1323.54,221.21,172.60,169.48
44365,Removal of small bowel polyps or growths using an endoscope,N,F,84,292,259,292,2161.30,309.58,243.82,220.97
44366,Control of bleeding in small bowel using an endoscope,N,F,2339,4623,4367,4622,1035.39,253.18,197.00,196.67
44366,Control of bleeding in small bowel using an endoscope,N,O,22,30,30,30,1139.43,250.45,176.73,180.24
44369,Destruction of small bowel polyps or growths using an endoscope,N,F,947,1874,1797,1874,1065.16,261.13,202.57,204.82
44370,Insertion of small bowel stent using an endoscope,N,F,67,85,84,85,1160.86,263.39,205.65,201.13
44372,Insertion of feeding tube (accessed beneath the skin) into small bowel using an endoscope,N,F,508,1123,951,1123,885.39,254.92,197.69,200.43
44373,Convert stomach tube to small bowel tube (accessed beneath the skin) using an endoscope,N,F,461,1060,905,1060,879.58,173.69,135.61,135.13
44376,Diagnostic examination of small bowel using an endoscope,N,F,479,1169,1147,1169,1124.79,300.94,234.76,229.48
44376,Diagnostic examination of small bowel using an endoscope,N,O,15,210,209,210,515.80,186.88,143.16,128.13
44377,Biopsy of small bowel using an endoscope,N,F,378,1191,1168,1191,1593.11,324.78,254.45,253.56
44377,Biopsy of small bowel using an endoscope,N,O,11,192,182,192,775.01,179.24,137.98,133.94
44378,Control of bleeding beyond second portion of small bowel using an endoscope,N,F,438,1053,1006,1053,1325.00,410.84,324.14,316.96
44379,Insertion of small bowel stent using an endoscope,N,F,14,20,19,20,1055.84,423.13,329.38,330.84
44380,Diagnostic examination of small bowel using an endoscope which is inserted through abdominal opening,N,F,1767,2321,2232,2320,589.12,75.68,57.93,60.09
44380,Diagnostic examination of small bowel using an endoscope which is inserted through abdominal opening,N,O,88,111,107,111,652.41,111.81,84.01,89.75
44381,Balloon dilation of small bowel using an endoscope which is inserted through abdominal opening,N,F,128,160,134,160,1471.85,123.40,90.78,98.69
44382,Biopsy of small bowel using an endoscope which is inserted through abdominal opening,N,F,1156,1665,1520,1665,761.73,99.22,75.42,76.42
44382,Biopsy of small bowel using an endoscope which is inserted through abdominal opening,N,O,58,67,65,67,785.54,127.22,91.36,98.65
44384,Placement of stent in small bowel using an endoscope which is inserted through abdominal opening,N,F,86,123,97,123,1143.56,205.41,158.23,162.52
44385,Diagnostic examination of defect in wall of small bowel using an endoscope,N,F,742,1130,1062,1130,835.71,88.02,65.79,66.31
44385,Diagnostic examination of defect in wall of small bowel using an endoscope,N,O,144,378,333,378,723.83,172.03,121.77,123.50
44386,Biopsy of small bowel using an endoscope,N,F,1096,1749,1693,1749,1130.08,129.46,96.91,97.72
44386,Biopsy of small bowel using an endoscope,N,O,102,184,175,184,1184.43,205.01,149.49,141.54
44388,Diagnostic examination of large bowel using an endoscope which is inserted through abdominal opening,N,F,3927,5539,5452,5535,1036.22,185.01,141.04,143.69
44388,Diagnostic examination of large bowel using an endoscope which is inserted through abdominal opening,N,O,144,179,179,179,933.33,215.28,160.46,166.23
44389,Biopsies of large bowel using an endoscope which is inserted through abdominal opening,N,F,2430,3104,3067,3104,1159.20,201.39,154.89,156.48
44389,Biopsies of large bowel using an endoscope which is inserted through abdominal opening,N,O,96,106,106,106,1158.32,217.84,164.87,162.40
44390,Removal of foreign bodies from large bowel using an endoscope which is inserted through abdominal opening,N,F,35,35,35,35,959.67,188.93,140.25,133.75
44391,Control of bleeding in large bowel using an endoscope which is inserted through abdominal opening,N,F,151,178,177,178,1245.11,230.40,178.27,181.10
44392,Removal of polyps or growths of large bowel using an endoscope which is inserted through abdominal opening,N,F,331,466,463,466,1173.84,212.07,161.73,162.71
44392,Removal of polyps or growths of large bowel using an endoscope which is inserted through abdominal opening,N,O,16,19,19,19,922.74,233.16,185.56,180.98
44394,Removal of large bowel polyps or growths using an endoscope,N,F,1717,2147,2121,2147,1296.76,282.40,217.92,220.34
44394,Removal of large bowel polyps or growths using an endoscope,N,O,71,100,97,100,1164.93,332.50,257.59,235.93
44401,Destruction of large bowel growths using an endoscope which is inserted through abdominal opening,N,F,76,81,80,81,1420.40,272.89,211.75,213.68
44402,Stent placement in large bowel using an endoscope which is inserted through abdominal opening,N,F,11,14,11,14,759.75,261.53,203.88,215.25
44403,Resection of large bowel tissue using an endoscope which is inserted through abdominal opening,N,F,59,65,65,65,1409.18,332.68,260.43,252.71
44404,Injections of large bowel using an endoscope which is inserted through abdominal opening,N,F,203,213,207,213,1156.87,143.15,108.98,105.50
44404,Injections of large bowel using an endoscope which is inserted through abdominal opening,N,O,11,12,12,12,996.86,91.38,60.31,56.73
44405,Balloon dilation of large bowel using an endoscope which is inserted through abdominal opening,N,F,53,57,53,57,1130.78,191.95,148.13,150.64
44408,Decompression of large bowel using an endoscope which is inserted through abdominal opening,N,F,31,33,33,33,844.82,231.40,174.09,176.48
44408,Decompression of large bowel using an endoscope which is inserted through abdominal opening,N,O,1,26,26,26,10.00,10.00,4.82,4.82
44500,Oral introduction of long drainage tube into small bowel,N,F,2839,8349,7955,8347,107.14,19.22,14.86,15.26
44602,"Suture of small bowel for perforated ulcer, pouch, wound, injury or rupture",N,F,2594,3323,3244,3322,3648.05,1120.62,869.53,867.53
44603,"Suture of multiple small bowel ulcers, defects, wounds, injuries, or rupture",N,F,883,1195,1154,1193,4196.14,1307.88,1018.13,1007.75
44604,"Suture of large bowel ulcer, defect, wound, injury, or rupture",N,F,1486,1794,1780,1793,2899.91,737.00,572.61,561.73
44605,"Suture of large bowel ulcer, defect, wound, injury, or rupture with creation of opening",N,F,119,122,122,122,3228.63,1032.33,798.23,791.63
44615,Release of small bowel obstruction,N,F,246,307,285,285,3164.06,787.23,612.50,611.23
44620,Closure of large or small bowel opening,N,F,2268,3157,3120,3144,2463.90,667.66,516.59,514.55
44625,Closure of large or small bowel opening with bowel removal and reattachment,N,F,3413,5806,5755,5797,2972.27,843.99,653.66,648.27
44625,Closure of large or small bowel opening with bowel removal and reattachment,N,O,14,14,14,14,2989.58,855.64,663.19,713.94
44626,Closure of large or small bowel opening with bowel removal and reattachment of large bowel and rectum,N,F,3768,5279,5258,5277,4260.49,1276.29,987.29,975.11
44640,Closure of abnormal drainage tract of small bowel,N,F,1188,1528,1409,1479,4008.61,1120.11,868.72,861.14
44650,Closure of abnormal drainage tract within small bowel or small to large bowel,N,F,391,443,426,430,4020.33,997.98,765.64,757.58
44660,Closure of abnormal drainage tract of small bowel,N,F,319,360,360,360,3361.23,809.10,622.97,570.97
44661,Closure of abnormal drainage tract from small bowel into urinary bladder,N,F,772,867,864,866,4330.40,1098.67,859.44,820.75
44680,Surgical folding of upper small bowel upon itself,N,F,76,88,88,88,3658.71,746.26,581.03,563.53
44700,Suspension of small bowel using mesh or prosthesis,N,F,264,923,919,923,2595.16,423.57,326.81,330.67
44701,Irrigation of large bowel during surgery,N,F,63,76,76,76,470.23,156.89,122.51,123.77
44799,Small bowel procedure,N,F,655,1566,1437,1545,1558.52,326.20,254.81,255.65
44799,Small bowel procedure,N,O,25,47,42,47,781.13,254.14,199.24,199.25
44800,Repair of congenital bowel defect,N,F,414,427,427,427,2178.01,446.34,344.75,346.76
44820,Removal of growth from abdominal cavity,N,F,101,105,105,105,2248.87,659.44,511.95,503.93
44850,Suture of abdominal cavity tissue,N,F,97,170,170,170,2230.75,437.60,341.22,329.97
44899,Procedure for congenital bowel defect,N,F,73,75,74,74,2521.06,593.22,463.84,465.11
44900,"Drainage of abscess of appendix, open procedure",N,F,89,108,107,108,2197.16,512.12,398.34,403.51
44950,Removal of appendix,N,F,1290,1541,1541,1541,1859.89,591.11,454.15,460.66
44955,Removal of appendix,N,F,2672,3869,3867,3868,468.82,74.20,57.50,58.46
44960,Removal of ruptured infected appendix,N,F,1262,1520,1520,1520,2434.78,796.77,615.98,627.84
44970,Removal of appendix using an endoscope,N,F,10875,23303,23198,23198,1997.95,554.96,425.42,436.18
44970,Removal of appendix using an endoscope,N,O,72,80,80,80,1906.87,559.67,427.65,439.35
44979,Appendix procedure using an endoscope,N,F,131,148,148,148,2443.39,690.82,542.99,541.58
45000,Drainage of pelvic abscess,N,F,123,171,138,171,1447.84,395.29,304.76,295.56
45005,Drainage of rectal abscess,N,F,97,104,104,104,896.83,166.16,121.01,128.71
45005,Drainage of rectal abscess,N,O,43,48,46,48,543.60,263.01,195.66,200.85
45020,Drainage of pelvic or rectal abscess,N,F,190,221,212,221,1500.26,539.27,418.85,427.45
45100,Biopsy of rectum,N,F,1042,1582,1507,1560,1327.01,371.83,287.01,289.72
45100,Biopsy of rectum,N,O,119,144,138,142,801.02,294.54,224.23,228.68
45108,Removal of rectal muscle growth,N,F,24,26,26,26,1305.30,368.88,280.31,288.07
45110,"Removal of rectum with creation of large bowel opening, open abdominal and rectal procedure",N,F,1046,1460,1459,1459,5478.53,1502.71,1164.90,1149.39
45111,"Partial removal of rectum, open abdominal procedure",N,F,381,431,430,431,4089.92,704.68,548.77,531.23
45112,"Removal of rectum, open abdominal and rectal procedure",N,F,141,179,179,179,6286.68,1605.08,1238.71,1212.64
45113,Partial removal of rectum and attachment of small bowel to anus,N,F,49,56,54,56,7606.77,1725.23,1310.51,1338.45
45114,Partial removal of rectum,N,F,23,26,26,26,5133.74,1701.00,1335.25,1282.81
45116,Partial removal of rectum,N,F,12,12,12,12,3579.60,1237.16,969.94,914.74
45119,"Removal of rectum, open abdominal and rectal procedure",N,F,71,99,99,99,5618.43,1567.74,1221.81,1228.49
45120,Removal of congenital rectal defect,N,F,14,19,19,19,4714.75,1381.71,1011.77,1076.82
45121,"Removal of congenital rectal defect and large bowel with multiple biopsies, open abdominal and rectal procedure",N,F,20,20,20,20,4602.05,1312.35,1023.69,1054.95
45123,Partial removal of rectum,N,F,211,335,330,335,4475.78,950.58,743.23,694.90
45126,"Removal of large bowel, rectum, prostate, urinary structures and/or uterus and cervix",N,F,123,135,133,135,10923.25,1934.79,1513.81,1259.19
45130,Repair of prolapsed rectum,N,F,1168,2298,2229,2297,3115.87,951.06,739.30,734.24
45135,Repair of prolapsed rectum,N,F,28,35,35,35,3396.94,1349.12,1041.87,1076.70
45136,Removal of small bowel pouch with creation of small bowel opening,N,F,88,94,93,94,6269.68,1670.71,1311.98,1264.92
45150,Removal of scar tissue in rectum,N,F,33,90,87,90,1020.95,327.66,246.95,257.34
45160,Removal of rectal growth,N,F,26,29,29,29,2769.10,883.71,685.17,679.66
45171,Removal of rectal growth,N,F,1941,3050,2978,3026,2193.37,631.15,487.84,490.99
45171,Removal of rectal growth,N,O,71,91,87,88,3017.27,594.63,463.59,451.82
45172,Removal of rectal muscle growth,N,F,1248,2397,2325,2371,2859.79,770.83,596.88,600.33
45172,Removal of rectal muscle growth,N,O,20,30,29,30,3571.10,792.40,602.21,649.15
45190,Destruction of rectal growth,N,F,122,200,186,200,2275.73,773.24,593.86,596.70
45190,Destruction of rectal growth,N,O,23,183,163,183,2666.02,788.99,638.91,556.46
45300,Diagnostic examination of rectum and large bowel using an endoscope,N,F,2209,6007,5723,6006,343.62,38.37,29.15,28.50
45300,Diagnostic examination of rectum and large bowel using an endoscope,N,O,1190,21546,18529,21546,281.02,122.00,89.27,88.35
45303,Dilation of rectum and large bowel using an endoscope,N,F,125,149,137,149,1512.63,96.16,70.57,70.82
45303,Dilation of rectum and large bowel using an endoscope,N,O,53,623,416,623,1507.30,899.67,693.02,711.13
45305,Biopsy of rectum and large bowel using an endoscope,N,F,449,523,516,523,670.72,97.40,73.78,73.47
45305,Biopsy of rectum and large bowel using an endoscope,N,O,136,195,191,195,500.14,139.17,103.27,102.34
45307,Foreign body removal in rectum and large bowel using an endoscope,N,F,68,70,69,70,495.74,92.69,69.77,70.81
45307,Foreign body removal in rectum and large bowel using an endoscope,N,O,7,39,18,39,323.18,187.73,125.13,110.14
45308,Removal of polyp or growth of rectum and large bowel using an endoscope,N,F,35,37,37,37,983.09,231.75,178.21,184.42
45309,Removal of polyp or growth of rectum and large bowel using an endoscope,N,F,40,42,42,42,473.02,77.59,58.35,59.88
45315,Removal of multiple polyps or growths in rectum and large bowel using an endoscope,N,F,12,16,16,16,697.69,129.88,102.19,96.74
45317,Control of bleeding in rectum and large bowel using an endoscope,N,F,118,145,125,144,632.26,119.68,92.91,91.86
45317,Control of bleeding in rectum and large bowel using an endoscope,N,O,56,200,112,200,685.71,184.23,140.09,133.74
45320,Destruction of polyps or growths of the rectum and large bowel using an endoscope,N,F,32,36,33,36,783.75,163.99,127.29,126.26
45320,Destruction of polyps or growths of the rectum and large bowel using an endoscope,N,O,8,21,16,21,649.32,198.84,154.24,137.11
45321,Release of twisted bowel in rectum and large bowel using an endoscope,N,F,54,59,58,59,444.11,112.56,88.89,87.93
45327,Insertion of rectal or large bowel stent using an endoscope,N,F,14,14,14,14,314.93,116.12,90.54,89.54
45330,Diagnostic examination of large bowel using an endoscope,N,F,14258,51777,50375,51772,526.43,61.35,45.93,46.62
45330,Diagnostic examination of large bowel using an endoscope,N,O,1840,11162,10197,11162,428.16,158.66,117.03,113.99
45331,Biopsy of large bowel using an endoscope,N,F,12218,42654,41762,42648,681.53,122.09,92.88,93.88
45331,Biopsy of large bowel using an endoscope,N,O,1295,3274,3180,3274,575.98,215.94,163.22,156.52
45332,Removal of foreign bodies in large bowel using an endoscope,N,F,301,322,316,322,580.50,108.98,84.02,82.81
45333,Removal of polyps or growths of large bowel using an endoscope,N,F,843,1127,1091,1127,793.01,126.61,94.59,97.06
45333,Removal of polyps or growths of large bowel using an endoscope,N,O,72,127,121,127,709.88,256.67,185.31,190.53
45334,Control of bleeding in large bowel using an endoscope,N,F,2428,3434,3105,3433,748.21,145.03,111.11,111.76
45334,Control of bleeding in large bowel using an endoscope,N,O,74,144,128,144,954.85,423.16,320.68,357.91
45335,Injections into large bowel using an endoscope,N,F,2629,3581,3530,3581,742.45,77.49,59.62,58.97
45335,Injections into large bowel using an endoscope,N,O,133,187,184,187,690.50,136.92,103.98,100.30
45337,Release of twisted large bowel using an endoscope,N,F,1142,1403,1339,1403,508.02,117.88,91.18,91.21
45338,Removal of polyps or growths of large bowel using an endoscope,N,F,3890,6002,5816,6002,895.46,198.34,150.31,152.71
45338,Removal of polyps or growths of large bowel using an endoscope,N,O,203,301,294,301,753.17,206.54,156.31,150.82
45340,Dilation of large bowel stricture using an endoscope,N,F,960,1476,1134,1476,993.06,128.76,97.32,98.01
45340,Dilation of large bowel stricture using an endoscope,N,O,26,38,30,38,1025.74,177.37,134.76,132.34
45341,Ultrasound examination of large bowel using an endoscope,N,F,1082,3408,3303,3408,654.81,152.79,116.86,117.83
45341,Ultrasound examination of large bowel using an endoscope,N,O,23,45,43,45,616.43,130.24,100.49,99.49
45342,Ultrasound guided needle aspiration or biopsy of large bowel using an endoscope,N,F,286,442,432,442,807.22,195.61,148.50,151.42
45342,Ultrasound guided needle aspiration or biopsy of large bowel using an endoscope,N,O,7,15,15,15,417.80,106.17,82.83,127.67
45346,Destruction of polyps or growths of large bowel using an endoscope,N,F,862,1223,1086,1223,1557.71,206.38,157.06,159.81
45346,Destruction of polyps or growths of large bowel using an endoscope,N,O,37,64,58,64,2891.71,1150.05,915.64,1299.75
45347,Placement of stent in large bowel using an endoscope,N,F,444,630,598,629,638.65,161.43,125.29,123.38
45349,Removal of large bowel tissue using an endoscope,N,F,365,529,509,529,902.68,222.27,169.99,170.95
45350,Rubber banding of large bowel using an endoscope,N,F,631,1366,1315,1366,1151.85,205.70,157.32,157.99
45350,Rubber banding of large bowel using an endoscope,N,O,39,72,65,72,1285.69,503.08,392.26,383.26
45378,Diagnostic examination of large bowel using an endoscope,N,F,22613,521877,516447,521835,1196.32,216.80,163.44,165.24
45378,Diagnostic examination of large bowel using an endoscope,N,O,2800,25734,25535,25733,1088.73,284.34,211.49,200.99
45379,Removal of foreign bodies in large bowel using an endoscope,N,F,791,1020,1012,1020,1306.66,212.64,162.89,158.58
45379,Removal of foreign bodies in large bowel using an endoscope,N,O,26,47,47,47,1280.44,195.20,149.37,127.60
45380,Biopsy of large bowel using an endoscope,N,F,22852,1425194,1414604,1425125,1414.39,230.60,177.23,176.38
45380,Biopsy of large bowel using an endoscope,N,O,3576,67915,67515,67912,1318.51,256.63,195.49,182.34
45381,Injections of large bowel using an endoscope,N,F,14460,105187,103439,105182,1299.43,109.22,84.85,81.05
45381,Injections of large bowel using an endoscope,N,O,1244,4628,4577,4628,1243.08,61.90,47.48,31.94
45382,Control of bleeding in large bowel using an endoscope,N,F,8829,26852,26345,26843,1377.51,272.23,210.92,211.33
45382,Control of bleeding in large bowel using an endoscope,N,O,298,800,788,800,1596.56,619.06,478.89,467.41
45384,Removal of polyps or growths in large bowel using an endoscope,N,F,6635,135090,134182,135081,1460.94,247.96,189.84,192.16
45384,Removal of polyps or growths in large bowel using an endoscope,N,O,586,7770,7705,7770,1288.45,388.38,298.21,290.49
45385,Removal of polyps or growths of large bowel using an endoscope,N,F,22036,1213053,1200847,1213031,1488.31,327.54,252.36,254.56
45385,Removal of polyps or growths of large bowel using an endoscope,N,O,3246,56966,56467,56965,1426.12,357.52,273.77,266.78
45386,Balloon dilation of large bowel using an endoscope,N,F,1783,2584,2383,2583,1521.80,242.26,184.33,188.20
45386,Balloon dilation of large bowel using an endoscope,N,O,60,71,71,71,1531.57,369.11,278.17,285.23
45388,Destruction of large bowel growths using an endoscope,N,F,5657,38249,37825,38248,1671.74,324.01,250.21,256.07
45388,Destruction of large bowel growths using an endoscope,N,O,296,1496,1475,1495,3557.17,2335.27,1799.85,2048.17
45389,Stent placement of large bowel using an endoscope,N,F,405,508,498,508,1097.23,305.82,237.39,245.93
45390,Removal of large bowel tissue using an endoscope,N,F,2985,18148,17737,18139,1481.15,371.07,287.29,285.62
45390,Removal of large bowel tissue using an endoscope,N,O,182,666,653,666,1950.44,310.92,240.24,223.27
45391,Ultrasound examination of lower large bowel using an endoscope,N,F,421,962,944,962,1027.04,246.40,188.61,182.04
45392,Ultrasound guided needle aspiration or biopsy of lower large bowel using an endoscope,N,F,104,203,199,203,1354.03,342.15,265.28,263.84
45393,Decompression of large bowel using an endoscope,N,F,1531,2097,1968,2097,971.89,248.00,192.54,203.46
45395,"Removal of rectum with creation of large bowel opening through using an endoscope, abdominoperineal approach",N,F,845,1244,1241,1242,5713.00,1607.55,1250.03,1226.74
45397,"Removal of rectum using an endoscope, abdominoperineal approach",N,F,189,268,268,268,6248.36,1811.91,1413.76,1373.07
45398,Tying of large bowel using an endoscope,N,F,1121,3503,3495,3503,1566.91,268.39,206.44,206.32
45398,Tying of large bowel using an endoscope,N,O,34,260,258,260,1660.52,591.44,451.36,459.11
45399,Large bowel procedure,N,F,160,342,329,342,2292.42,395.82,308.93,310.26
45399,Large bowel procedure,N,O,13,20,13,20,736.41,206.38,162.27,161.79
45400,Repair of rectal prolapse using an endoscope,N,F,660,1272,1269,1272,3216.68,903.83,700.34,701.12
45402,Repair of rectal prolapse with partial removal of lower large bowel using an endoscope,N,F,242,312,312,312,4129.03,1217.20,943.48,949.68
45499,Rectal procedure using an endoscope,N,F,64,68,66,66,3486.22,931.81,722.15,733.11
45500,Release of scar tissue and repair of rectum,N,F,44,62,62,62,1824.42,581.97,438.28,464.86
45505,Repair of rectal prolapse,N,F,471,1016,1010,1016,2235.26,607.71,467.66,471.63
45505,Repair of rectal prolapse,N,O,11,12,12,12,1854.71,575.31,454.65,461.09
45520,Injection of veins in rectum,N,F,4,24,23,24,214.07,20.61,15.27,16.44
45520,Injection of veins in rectum,N,O,14,361,166,361,238.25,78.96,61.19,63.97
45540,"Fixation of rectum to sacrum, open abdominal procedure",N,F,349,490,484,490,2912.52,857.87,665.43,661.91
45541,"Fixation of rectum to sacrum, perineal approach",N,F,213,375,374,375,3024.15,855.51,666.94,665.32
45550,"Fixation of rectum to sacrum with removal of large bowel, open abdominal procedure",N,F,241,299,298,299,3885.76,1174.84,912.17,901.72
45560,Repair of herniated rectum,N,F,561,1623,1619,1623,1825.25,444.93,342.22,347.04
45560,Repair of herniated rectum,N,O,28,49,49,49,1930.98,448.79,362.58,352.75
45562,Repair of rectal wound,N,F,111,115,114,115,3021.01,948.12,742.21,687.17
45563,Repair of rectal wound,N,F,42,42,42,42,4748.98,1298.16,1035.14,983.66
45800,Repair of herniated rectum,N,F,96,106,104,106,3132.31,643.00,496.60,493.13
45805,Repair of herniated rectum with creation of large bowel opening,N,F,17,17,17,17,3417.17,967.82,751.89,717.78
45820,Repair of abnormal rectal drainage tract,N,F,50,59,57,59,3585.53,736.50,576.80,484.83
45900,Repair of rectal prolapse under anesthesia,N,F,91,92,92,92,676.44,202.60,153.26,156.97
45900,Repair of rectal prolapse under anesthesia,N,O,22,26,24,26,362.23,180.62,137.91,156.44
45905,Dilation of anal muscle under anesthesia,N,F,305,415,363,415,910.02,203.50,154.77,159.70
45905,Dilation of anal muscle under anesthesia,N,O,29,58,31,58,472.87,157.86,107.01,123.30
45910,Dilation of rectal scar tissue under anesthesia,N,F,218,386,361,386,1078.60,215.32,165.60,165.72
45910,Dilation of rectal scar tissue under anesthesia,N,O,22,47,40,47,680.04,195.44,142.33,143.30
45915,Removal of impacted stool or foreign body under anesthesia,N,F,1310,1602,1552,1602,868.47,218.59,169.16,171.71
45915,Removal of impacted stool or foreign body under anesthesia,N,O,235,603,411,603,679.42,337.57,258.33,254.71
45990,Diagnostic examination of anus and rectum under anesthesia,N,F,2079,4645,4414,4645,554.06,139.85,107.30,109.01
45990,Diagnostic examination of anus and rectum under anesthesia,N,O,81,210,193,210,309.20,77.03,57.63,56.91
45999,Rectal procedure,N,F,209,275,260,275,1385.28,363.56,282.47,284.49
46020,Insertion of drain device in anus,N,F,816,1308,1134,1216,1120.12,281.67,216.14,217.26
46020,Insertion of drain device in anus,N,O,59,74,63,69,713.98,256.11,196.41,191.33
46030,Removal of drain device from anus,N,F,181,227,219,227,731.19,88.38,67.32,65.88
46030,Removal of drain device from anus,N,O,68,89,79,89,395.12,142.51,98.54,94.47
46040,Drainage of rectal abscess,N,F,3364,4427,4274,4400,1378.40,408.96,313.96,324.71
46040,Drainage of rectal abscess,N,O,745,1070,1022,1068,1273.31,540.96,409.00,417.29
46045,Drainage of rectal abscess under anesthesia,N,F,236,253,247,251,1310.50,449.65,348.09,357.44
46045,Drainage of rectal abscess under anesthesia,N,O,16,17,17,17,846.34,396.33,307.38,351.64
46050,Drainage of rectal abscess,N,F,2251,2519,2458,2504,591.86,96.81,73.04,73.76
46050,Drainage of rectal abscess,N,O,1048,1465,1416,1462,494.02,197.73,144.11,147.76
46060,Drainage of anal abscess,N,F,632,904,858,889,1714.65,514.15,396.38,405.06
46060,Drainage of anal abscess,N,O,33,40,39,40,1273.33,466.50,350.54,375.03
46080,Division of muscle of anus,N,F,718,1006,995,1006,1359.70,304.92,228.32,243.15
46080,Division of muscle of anus,N,O,28,34,34,34,685.78,187.53,146.50,146.99
46083,Incision of engorged external hemorrhoid,N,F,697,748,734,735,517.50,98.61,73.13,74.24
46083,Incision of engorged external hemorrhoid,N,O,1440,1828,1755,1807,392.39,164.93,116.12,123.60
46200,Excision of abnormal anal drainage tract,N,F,741,1149,1132,1149,1746.42,416.35,318.18,327.24
46200,Excision of abnormal anal drainage tract,N,O,23,76,75,76,993.70,434.93,330.42,327.55
46220,Removal of anal growth,N,F,454,498,497,498,906.40,164.41,121.98,126.68
46220,Removal of anal growth,N,O,435,611,598,611,530.12,202.32,147.28,152.96
46221,Removal of hemorrhoid by rubber banding,N,F,2629,16383,11748,16383,818.14,160.73,121.90,123.68
46221,Removal of hemorrhoid by rubber banding,N,O,4114,62515,33294,62509,612.31,274.13,204.94,205.62
46230,Removal of multiple external anal growths,N,F,638,893,889,893,1296.66,283.66,215.61,217.10
46230,Removal of multiple external anal growths,N,O,220,414,393,414,672.70,246.41,185.58,181.37
46250,Removal of multiple external hemorrhoids,N,F,791,1031,1028,1031,1464.07,366.48,280.27,289.68
46250,Removal of multiple external hemorrhoids,N,O,161,410,397,410,990.79,462.31,352.10,341.76
46255,Removal of internal and external hemorrhoids,N,F,2118,3124,3107,3124,1818.95,448.86,343.52,353.25
46255,Removal of internal and external hemorrhoids,N,O,150,584,470,584,972.49,536.77,409.76,389.69
46257,Removal of internal and external hemorrhoids with excision of abnormal anal drainage tract,N,F,108,123,123,123,1739.41,535.59,399.29,426.04
46258,Removal of internal and external hemorrhoids with repair of abnormal anal drainage tract,N,F,58,64,64,64,1855.07,580.04,447.67,463.93
46260,Removal of multiple internal and external hemorrhoids,N,F,3655,8636,8624,8635,2062.80,565.40,433.11,445.04
46260,Removal of multiple internal and external hemorrhoids,N,O,116,196,195,196,1524.02,480.35,363.17,372.97
46261,Removal of multiple internal and external hemorrhoids with excision of abnormal anal drainage tract,N,F,201,334,333,334,2332.07,623.08,475.83,490.47
46262,Removal of multiple internal and external hemorrhoids with repair of abnormal anal drainage tract,N,F,122,153,153,153,2069.19,579.15,442.90,458.53
46270,Repair of abnormal anal drainage tract,N,F,1303,1756,1722,1755,1781.94,487.88,372.51,385.17
