rsd,y_pred,y_conf,y_true,provider_count,unique_beneficiary_provider
Closed treatment of broken shin bones ,4,0.70596915,4,70,74
Destruction and/or removal of (0.5 to 2.0 centimeters) small growths of the bladder using an endoscope,4,0.699836,4,6659,28928
MRA scan of head blood vessels with contrast,4,0.9317314,4,433,1159
"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks) ",4,0.81467915,4,2083,75753
Revision of large bowel opening and scar tissue release ,5,0.86956054,4,12,12
Removal of growth of dental bone with repair,4,0.7196127,4,79,83
"Drainage of abscess, cyst, or blood accumulation under the tongue or jaw bone",4,0.62585753,4,30,32
"Exploration, drainage, or removal of foreign body of wrist bone ",5,0.51012653,4,162,184
Suture repair of a turning-outward defect of upper or lower eyelid ,3,0.29422584,4,252,432
"Radiopharmaceutical, therapeutic, not otherwise classified",4,0.37270927,4,5,21
Removal of spine bone growth,6,0.93871766,4,125,143
Anesthesia for tying or incision of fallopian tubes using an endoscope,4,0.8571341,4,1058,1125
Incision and drainage of abscess or blood accumulation in soft tissues of neck or chest with removal of rib,4,0.5372289,4,51,59
Repair of incomplete removal of penile foreskin ,4,0.53423756,4,242,262
Destruction of internal anal hemorrhoids,3,0.64918387,4,514,2786
Radiological supervision and interpretation of imaging of arteries of both arms or legs ,2,0.6134272,4,1154,18861
Aspiration of lung secretions from lung airways using an endoscope ,3,0.8292832,4,30,57
Open treatment of broken nasal bone ,6,0.79588914,4,10,11
Anesthesia for closed procedure in chest,4,0.55330354,4,37696,137756
Repair and partial removal of bladder canal (urethra) and urinary opening ,5,0.5662505,4,36,39
Removal of cartilage attaching voice box using an endoscope,5,0.72510904,4,19,22
"Management of radiation therapy, simulation, complex",3,0.67190504,4,2867,86938
Removal of foreign material from skin and tissue at open fracture and/or dislocation,3,0.64596045,4,1211,1415
"Biopsy or removal of lymph nodes, open procedure",4,0.49638107,4,319,420
Insertion of catheter into left heart for diagnosis ,4,0.48002535,4,1182,5400
Repositioning of previously implanted defibrillator electrode,4,0.58165115,4,26,27
Closed treatment of shoulder dislocation with manipulation under anesthesia,4,0.6251881,4,2441,2812
Suture of recent wound of the eyelid involving lid margin,3,0.51222014,4,87,151
Control of bleeding beyond second portion of small bowel using an endoscope ,4,0.8529263,4,376,930
Nasal procedure ,3,0.46266705,4,156,251
Anesthesia for closed procedure in chest ,4,0.53469986,4,21,26
Anesthesia for closed needle biopsy of lung,4,0.6919724,4,25,131
Closed treatment of fracture of upper arm bone at shoulder joint,3,0.5271334,4,1027,1155
Incision of tissue of front and/or lateral muscle compartments of lower leg ,5,0.66685003,4,587,757
"Incision of artery in one thigh for insertion of prosthesis, open procedure ",4,0.6366573,4,4072,18346
Release of ankle joint capsule,6,0.96850586,4,8,11
Removal of foreign body in uterus using an endoscope,4,0.48473015,4,40,40
"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",4,0.9173489,4,553,1814
"Incision to lengthen toe tendon, open procedure",4,0.61822045,4,1883,4055
Destruction of lower or sacral spinal facet joint nerves using imaging guidance,6,0.47034654,4,3528,70162
Incision to straighten toe bone,3,0.64149153,4,374,824
Biopsy of cervix using an endoscope ,2,0.69889164,4,384,442
Closed treatment of knee cap fracture,4,0.6792274,4,2017,2410
Exploration of penetrating wound of chest,4,0.71473646,4,76,78
Removal and replacement of multiple lead permanent pacemaker pulse generator ,5,0.53992265,4,1726,4197
Anesthesia for open or endoscopic procedure at upper arm and shoulder joint including,4,0.5188322,4,42688,162786
Anesthesia for retinal surgery,4,0.7864278,4,774,3674
Collection of stem cells for transplantation,4,0.6427376,4,322,2113
"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)",4,0.8130904,4,2343,92353
Removal of implanted arterial infusion pump ,6,0.380942,4,24,30
Anesthesia for liver biopsy (accessed through the skin),4,0.6712996,4,1306,1776
Removal and tying hemorrhoid group,3,0.818155,4,535,659
Insertion of radiation therapy markers into lung airways using an endoscope,3,0.5800371,4,500,2164
Harvest of patient bone marrow for transplantation,6,0.43626335,4,77,179
Removal (less than 5 centimeters) muscle growth in abdominal wall,5,0.63285005,4,75,77
Closed treatment of dislocated hand joint with manipulation,4,0.67642385,4,445,447
Plastic repair of cervix ,4,0.8169942,4,32,35
Anesthesia for procedure on male genitalia,4,0.529254,4,25213,42128
Removal of adenoids patient age 12 or over,4,0.6774704,4,300,330
Removal (3 centimeters or greater) tissue growth beneath the skin of upper arm or elbow,4,0.4593045,4,380,430
Plastic repair of salivary duct,5,0.5371502,4,45,47
"Removal of tissue at thigh or knee region, open procedure ",5,0.47020766,4,462,1363
Removal of bladder pouches using an endoscope,4,0.70170444,4,86,110
"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope ",4,0.59773326,4,1658,36836
Evaluation of single or dual chamber pacing cardioverter-defibrillator with programming or reprogramming,4,0.83214813,4,800,2033
Exploration of penetrating wound of neck ,4,0.68086416,4,13,13
Biopsy of sac that covers the heart using an endoscope,6,0.32672012,4,38,38
Anesthesia for diagnostic examination of shoulder joint using an endoscope,4,0.73522264,4,18,21
"Freezing destruction of nerve plexus, accessed through the skin, using imaging guidance",3,0.5142466,4,2,17
Anesthesia for procedure on ankle and/or foot using an endoscope,4,0.5231344,4,76,79
Revision of implanted arterial infusion pump,4,0.5944265,4,6,11
Sleep study attended by a technician,4,0.4078121,4,326,3569
Insertion of needles and skin electrodes for measurement and recording of stimulated sites in the arms and legs,3,0.402114,4,636,34572
Use of operating microscope,4,0.77689594,4,3240,13134
Removal of bone at base of toe ,3,0.44419518,4,942,1442
Removal of salivary gland stone ,4,0.54515177,4,23,25
"Dialysis services (1 physician visit per month), patient 2-11 years of age ",3,0.38292736,4,17,21
Removal of skin and tissue beneath the skin of underarms for excessive sweating,4,0.53387487,4,599,651
Closed treatment of dislocated hand joint with manipulation under anesthesia,4,0.75141066,4,26,26
Repair of vertical lip wound extending to half of lip,5,0.46364635,4,57,90
Insertion of device to close opening to voice box using an endoscope,3,0.7701278,4,15,42
"Removal of infected skin, tissue or muscle of genitals ",4,0.48487434,4,91,117
Removal (5 centimeters or greater) muscle growth in abdominal wall ,6,0.6245411,4,23,24
Removal of foreign body in uterus using an endoscope ,4,0.47789496,4,34,35
Removal of tube open procedure for external blood circulation in heart and lungs using a pump patient 6 years and older,4,0.36929792,4,263,409
Anesthesia for X-ray procedure on vein or lymph system ,4,0.4213399,4,338,5457
Closed treatment of knee joint dislocation ,4,0.6262072,4,12,12
MRA scan of leg blood vessels ,4,0.8441041,4,947,2641
"Repair of wound (over 30.0 centimeters) of neck, hands, feet, and/or genitals",4,0.45662695,4,43,45
Partial removal of lip ,6,0.34734145,4,12,14
Closed treatment of upper thigh bone fracture ,4,0.52974063,4,1179,1607
"Removal of foreign material from skin, tissue, and muscle at open fracture and/or dislocation",4,0.5108381,4,960,1207
Repair and partial removal of bladder canal (urethra) and urinary opening,5,0.5770413,4,35,39
Insertion of catheters for 3D mapping of electrical impulses to heart muscles,4,0.79468733,4,2458,56421
Amputation of foot,4,0.53236836,4,152,173
Implantation of nerve end into bone or muscle ,4,0.47994685,4,299,511
Anesthesia for procedure on ankle and/or foot using an endoscope,4,0.52324265,4,4124,4980
Exploration of breast nipple,4,0.5942781,4,39,49
Insertion of left heart electrode for pacing defibrillator device,4,0.8280046,4,55,112
Anesthesia for procedure on collar bone and shoulder blade,4,0.5713842,4,4749,5264
Repair of turning-outward eyelid defect,6,0.91691893,4,225,389
Revision of permanent windpipe opening scar,4,0.9419578,4,13,13
"Injection, doxorubicin hydrochloride, liposomal, imported lipodox, 10 mg",4,0.565179,4,58,95
Removal of up to one-fourth of the eyelid involving lid margin ,6,0.8933987,4,395,1483
"Tissue transfer repair of wound (10 sq centimeters or less) of the scalp, arms, and/or legs",6,0.7790225,4,2021,12373
Vaginal repair of pelvic ligaments,4,0.66548014,4,54,87
Anesthesia for closed procedure in chest,4,0.55214083,4,178,321
Biopsy of small bowel using an endoscope ,4,0.79435897,4,2885,14336
"Removal of bones at second, third, or fourth toe joints ",5,0.5259978,4,113,130
Tying and gradual clamping of neck artery,5,0.4662713,4,12,12
Anesthesia for removal of urinary bladder tumors including use of an endoscope,4,0.66768444,4,495,1298
Closed treatment of broken ankle,3,0.4921496,4,1665,1831
Removal (3 centimeters or greater) tissue growth beneath the skin at forearm and/or wrist,5,0.4286499,4,281,301
Injection of dilated veins of stomach and/or esophagus using an endoscope,4,0.828508,4,693,1116
Anesthesia for removal of urinary bladder stone,4,0.62774605,4,793,939
Anesthesia for closed procedure on upper two-thirds of thigh bone,3,0.47599545,4,13136,17755
CT scan of lower spine before and after contrast,4,0.4277044,4,1047,1796
Repair of conjunctiva,6,0.60916257,4,189,791
Removal of peripheral venous catheter for infusion,3,0.7761752,4,13941,44831
Closed treatment of broken ankle with manipulation ,4,0.81138104,4,895,945
"Dialysis services (2-3 physician visits per month), patient 12-19 years of age ",4,0.37652847,4,84,136
Removal of up to one-fourth of the eyelid involving lid margin,6,0.90450555,4,411,1355
Incision of the bladder canal (urethra) using an endoscope ,4,0.74716806,4,4250,11005
Closed treatment of dislocation of knee cap,4,0.77076685,4,341,344
Repair of bladder canal (urethra) and urinary opening,5,0.6794994,4,174,217
"Injection of anesthetic agent, abdominal sympathetic nerve bundle",3,0.5643874,4,798,1167
"Repair of wound (20.1 to 30.0 centimeters) of face, ears, eyelids, nose, lips, and/or mouth",4,0.4635362,4,8,15
Fluoroscopic procedure ,2,0.653377,4,12,92
Needle stereotactic and image-guided biopsy of prostate gland,5,0.61696273,4,44,112
Repair of non-healed foot bone,6,0.6684178,4,15,16
Destruction of skin growth (10.0 to 50.0 sq centimeters),4,0.6000235,4,179,544
Removal of remaining tonsil tissue,3,0.35042307,4,34,34
Manipulation of finger joint under anesthesia,4,0.5226764,4,136,206
Removal of eyelid growth,3,0.54270864,4,2451,9164
Insertion of radiation therapy devices in uterus for radiation therapy,4,0.4193962,4,142,236
Insertion of tissue expanders ,6,0.42076856,4,17,35
Anesthesia for repair or removal of vagina and urinary procedure ,4,0.7985302,4,14340,20568
Removal of abnormal tissue dividing the vagina,2,0.48081467,4,38,41
Removal of growth from voice box using a flexible endoscope ,3,0.69029963,4,71,131
Removal of tissue expanders,5,0.6545068,4,54,68
Impression and custom preparation of outer ear prosthesis,6,0.9470451,4,273,2254
Partial removal of collar bone,6,0.47897127,4,113,303
Drainage of prostate abscess through bladder canal (urethra),4,0.65825754,4,105,132
"High dose brachytherapy , 1 channel",2,0.5627639,4,516,1746
Removal of recurring cataract in lens capsule,3,0.5491175,4,18,44
Dilation of the bladder using an endoscope under general or spinal anesthesia ,4,0.6526026,4,2363,6460
"Balloon dilation of narrowed or blocked vein, open procedure ",5,0.40976366,4,536,2277
"Injection, leuprolide acetate (for depot suspension), per 3.75 mg",4,0.7367143,4,375,469
Removal of congenital skin and tissue cyst ,3,0.57651216,4,12,12
Repair of 2 electrodes for permanent pacemaker or defibrillator device,4,0.83441496,4,89,104
Deep biopsy of muscle ,3,0.63429344,4,1591,2347
Anesthesia for insertion of permanent heart pacemaker ,4,0.7641805,4,20650,65596
"Dilation of bile ducts with stent insertion using an endoscope, accessed through the skin",5,0.6082081,4,30,33
Anchoring of opposite testicle to other testicle,4,0.80237573,4,29,32
Closed treatment of broken wrist bone,4,0.5886747,4,546,582
"Anesthesia for treatment of second and third-degree burn, less than 4% total body surface ",4,0.40372664,4,614,952
Evaluation of single or dual chamber pacing cardioverter-defibrillator and generator at time of implantation or replacement,4,0.66779286,4,2574,28330
Closed treatment of broken eye socket bone,3,0.7293557,4,27,36
Drainage of breast abscess,4,0.84805113,4,1313,1519
"Repair of wound (1.1 to 2.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet ",3,0.53956515,4,2278,7100
Insertion of electrodes for permanent pacemaker or pacing defibrillator device ,4,0.79855806,4,507,755
"Removal of malignant growth (over 4.0 centimeters) of the face, ears, eyelids, nose, or lips",3,0.37182945,4,1868,3851
Measurement of proteins associated with prostate cancer,1,0.33477312,4,14,24371
"Balloon dilation of narrowed or blocked aorta, open procedure ",5,0.319798,4,37,40
"Insertion of abdominal cavity catheter for drainage or dialysis, open procedure ",4,0.5444593,4,1156,2719
"Gene analysis (peripheral myelin protein 22), full sequence analysis",4,0.7528252,4,1,107
"Drainage of abscess, cyst, or blood accumulation under the tongue or lower lip",4,0.5822854,4,13,15
Tying or banding of a passage between an artery and vein,4,0.6938116,4,2889,10159
Insertion of pacemaker pulse generator with existing multiple leads ,4,0.6300573,4,295,379
Incision to repair tendon covering at wrist,5,0.47418717,4,301,590
MRI guidance for destruction of tissue ,3,0.8715713,4,9,83
"MRI scan bones of the eye, face, and/or neck",2,0.7503155,4,2522,5480
Repair of fibrous tissue of foot using an endoscope,4,0.44933835,4,43,59
Anesthesia for closed procedure on upper arm and elbow,3,0.77260196,4,1159,1211
Reconstruction of spine bone following spinal procedure,4,0.48975694,4,72,94
Removal of skin and tissue beneath the skin of groin for excessive sweating,4,0.76796883,4,357,394
"Measurement and recording of brain wave (EEG) activity, overnight",2,0.610932,4,119,1271
Removal of bone at fifth toe joint,3,0.37595928,4,852,1094
Analysis for antibody to john cunningham virus,1,0.61915445,4,38,232
Cone biopsy of the cervix and vagina using an endoscope,4,0.8780304,4,373,420
Destruction of lower or sacral spinal facet joint nerves using imaging guidance ,6,0.45458746,4,3125,58607
Miscellaneous supply or accessory for use with any implanted ventricular assist device for which payment was not made under medicare part a,3,0.62557995,4,12,1052
Closed treatment of dislocation of joint between collar and chest bones with manipulation,4,0.6328686,4,11,11
Windpipe or lung airway procedure,2,0.35742098,4,242,417
High dose rate electronic brachytherapy ,4,0.29992896,4,18,64
"Repair of wound (2.6 to 7.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet ",4,0.619532,4,6260,191988
Removal of membrane covering of ankle joint,6,0.90242434,4,12,15
Removal of (over 1 centimeter) growth of sclera,4,0.76394606,4,783,1312
Removal of tonsils and adenoid glands patient age 12 or over,4,0.56701416,4,10,12
"Preventive retinal detachment treatment by heat or freezing, 1 or more sessions ",4,0.8085535,4,456,1149
Diagnostic examination of uterus using an endoscope,4,0.74117666,4,978,1235
"Removal of growth (3.1 to 4.0 centimeters) of the scalp, neck, hands, feet, or genitals ",2,0.58384055,4,1940,2421
Special radiation treatment procedure,2,0.47127858,4,2061,35450
Removal of abdominal cavity catheter ,4,0.85853505,4,179,347
"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, anal canal, 1 ml, includes shipping and necessary supplies ",4,0.4321459,4,174,385
Daily management of external vein to vein blood circulation in heart and lungs using a pump ,4,0.91270196,4,227,447
Injection of chemical agent into single vein,2,0.92467725,4,1108,8243
Relocation of patient skin (20 sq centimeters or less) to trunk ,6,0.7910958,4,116,163
Repair of tissue loss of finger or toe ,4,0.53872055,4,17,27
Anesthesia for procedure on gastrointestinal tract using an endoscope ,3,0.47650433,4,1351,35640
Partial removal of vaginal wall ,5,0.72323805,4,17,21
Removal of scar tissue in eye,5,0.60385126,4,49,64
Incision and drainage of abscess or blood accumulation in soft tissues of neck or chest,4,0.4659526,4,2151,2528
"Injection of anesthetic agent, middle or lower spine sympathetic nerves",4,0.46301225,4,2846,7181
Irrigation and suction of lung airways to obtain cells using an endoscope,3,0.8847407,4,210,441
Removal of polyps or growths in large bowel using an endoscope,4,0.5258022,4,586,7705
"Preparation of graft site at trunk, arms, or legs (first 100 sq cm or 1% body area infants and children)",4,0.7971557,4,3896,13758
Removal and replacement of single lead permanent pacemaker pulse generator,4,0.43873093,4,22,25
Tying of dilated veins of stomach and/or esophagus using an endoscope,4,0.80471295,4,6849,18053
Anesthesia for procedure to repair calf muscle tendon,4,0.6028893,4,5154,5942
Closed treatment of broken forearm bone at elbow,3,0.7228161,4,1994,2283
"Shower cover for use with electric or electric/pneumatic ventricular assist device, replacement only",6,0.5095514,4,8,65
Reoperation of heart artery bypass or valve procedure more than 1 month after original operation ,5,0.55745625,4,3009,11315
Incision of nasal sinus using an endoscope,4,0.5855447,4,231,353
"Removal of blood clot and injections to dissolve blood clot from artery or arterial graft using fluoroscopic guidance, accessed through the skin ",6,0.79377586,4,1076,1875
Breast procedure,4,0.616601,4,44,74
Partial removal of small bowel ,6,0.9844906,4,2237,2587
Removal of adenoids patient age 12 or over,4,0.6774681,4,30,31
"Removal of middle or lower spine bone with release of spinal cord and/or nerves, lateral extracavitary approach",6,0.5026804,4,278,575
"Repair of wound (20.1 to 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs",4,0.6476769,4,771,971
Biopsy of growths in one lung using an endoscope,4,0.8096342,4,900,1959
Insertion of catheter into left heart for diagnosis ,4,0.47998232,4,31,72
Destruction of trigeminal (facial) nerve branch under X-ray monitoring,6,0.7725125,4,27,37
Removal (less than 1.5 centimeters) muscle growth of foot or toe,5,0.56820613,4,238,411
Diagnostic test for sleep disorder,2,0.54703945,4,1026,2531
Incision and drainage of abscess or blood accumulation in soft tissues of neck or chest,4,0.46595305,4,2167,2606
"Removal of infected skin, tissue or muscle of genitals",5,0.47054884,4,94,110
Closed treatment of broken ankle,3,0.4921536,4,1551,1801
Nonobstetrical repair of skin from anus to genitals,3,0.5172188,4,278,334
"Biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope",4,0.84791374,4,23171,1810575
Incision to release foot muscle tendon,3,0.78304774,4,44,84
Dilation of large bowel stricture using an endoscope,4,0.67737764,4,944,1075
Drainage of abscess of salivary gland,4,0.41251525,4,87,88
MRI scan of blood vessels of abdomen,4,0.492647,4,1915,5337
Removal (less than 3 centimeters) tissue growth beneath the skin in abdominal wall ,5,0.55889446,4,1010,1094
Removal (3 centimeters or greater) tissue growth beneath the skin of back or flank ,5,0.5080421,4,776,1175
Anesthesia for retinal surgery,4,0.78678447,4,19838,130082
Daily management of external vein to artery blood circulation in heart and lungs using a pump,4,0.9101296,4,487,1066
Transplant of tendon and muscle rerouting at lower leg or ankle ,2,0.3423952,4,17,29
Biopsy of eye muscle,4,0.41409087,4,29,29
Radiological supervision and interpretation of repair of artery bifurcation of one groin with prosthesis,6,0.4576294,4,23,25
Destruction of lower or sacral spinal facet joint nerves using imaging guidance,6,0.47033736,4,3739,77075
Open treatment of broken thigh bone with insertion of hardware or prosthetic replacement,6,0.98928577,4,85,108
Tissue transfer repair of wound (30.0 sq centimeters),6,0.4037426,4,2567,8053
Injection of substance into spinal canal of upper or middle back using imaging guidance,4,0.59889865,4,7403,126738
Repair of leg tendon,5,0.827384,4,17,20
Treatment of spontaneous hip dislocation ,4,0.75243896,4,34,34
Closed treatment of fracture of bone of hand with manipulation,4,0.46761432,4,594,619
Anesthesia for diagnostic X-ray procedure on arteries or veins ,5,0.5745004,4,14685,35237
Removal of bunion at fifth toe joint,3,0.7269227,4,148,217
Closed treatment of collar bone and shoulder joint dislocation,3,0.58301294,4,254,265
Molecular pathology procedure level 8,2,0.40322587,4,13,3308
Insertion of catheter into blood vessel for drug infusion ,4,0.77935195,4,719,3606
Anesthesia for repair of undescended testicle,4,0.8298693,4,59,59
Anesthesia for procedure to control urinary system bleeding including use of an endoscope,4,0.62702227,4,12,12
CT scan of middle spine before and after contrast,2,0.42195678,4,324,421
"Revision of skin level port of stomach banding device, open procedure ",4,0.43773484,4,52,54
Injection of dye for X-ray imaging of spine disc,3,0.73762804,4,64,251
"Removal (3.1 to 4.0 centimeters) growth of face, ears, eyelids, nose, lips, or mouth ",2,0.3829782,4,906,1330
"Repair of wound (over 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs ",4,0.3937489,4,412,517
Anesthesia for procedure on eyelid,4,0.7902359,4,21460,121509
Revision or removal of peripheral neurostimulator electrode array ,3,0.57908106,4,2105,4377
"Repair of wound (12.6 to 20.0 centimeters) of neck, hands, feet, and/or genitals ",4,0.5757178,4,285,314
MRI scan of leg,2,0.79034096,4,9150,70346
"Removal of fluid from chest cavity with insertion of indwelling catheter, accessed through the skin",3,0.7672898,4,64,115
Tying of spermatic veins using an endoscope,4,0.69341975,4,25,29
MRI of heart ,3,0.42654115,4,118,340
"Anesthesia for treatment of second and third-degree burn, less than 4% total body surface",4,0.41731727,4,610,944
"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",4,0.86721617,4,50,158
Removal (less than 5 centimeters) muscle growth of shoulder area ,5,0.44620976,4,71,75
Removal of cyst at wrist ,4,0.5179867,4,12,12
Anesthesia for diagnostic examination of knee joint using an endoscope,4,0.58315325,4,26,37
Incision to improve eye fluid flow ,4,0.36460853,4,11,11
Removal of foreign body of foot tissue ,3,0.56007326,4,348,374
Incision of bladder with drainage ,4,0.8584701,4,2558,5833
"Anesthesia for open or endoscopic procedure on bones of forearm, wrist, or hand ",4,0.75958955,4,40581,114159
Anesthesia for procedure in upper abdomen including use of an endoscope ,5,0.61698246,4,41,46
Upper jaw and facial prosthesis procedure,5,0.42908266,4,35,77
Suture of non-obstetrical vaginal injury,4,0.75173396,4,445,524
"Exploration of penetrating wound of abdomen, flank, or back",4,0.8391073,4,307,346
"Diagnostic examination of the bladder, bladder canal (urethra), and urinary duct (ureter) or kidney using an endoscope",4,0.7397249,4,6190,23293
"Dialysis services (1 physician visit per month), patient 2-11 years of age",3,0.3764794,4,24,32
"Biopsy of bone, open procedure ",5,0.44193584,4,131,189
Removal of foreign body in dental bone,3,0.8929382,4,16,44
Removal of bone growth of toe,5,0.56642455,4,50,68
Closed treatment of dislocated foot joint under anesthesia,4,0.46642584,4,47,47
Drainage of breast abscess,4,0.8480507,4,1293,1479
Insertion of pacemaker pulse generator with existing multiple leads,4,0.6394241,4,294,360
Removal of portion of external ear,4,0.47242135,4,898,1378
Removal of foreign bodies in small bowel using an endoscope ,4,0.82006913,4,107,127
Biopsy of breast accessed through the skin with ultrasound guidance,3,0.6019224,4,1960,4694
Closed treatment of ankle dislocation under anesthesia,4,0.679952,4,10,14
Injections into esophagus using an endoscope,3,0.59218097,4,195,280
Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,4,0.4789779,4,147,176
Biopsy of eye muscle ,4,0.43269393,4,24,24
Biopsy of nerve,4,0.41166613,4,459,706
Drainage of fluid-filled sac (bursa) of foot,3,0.7679359,4,2185,4562
Incision to straighten toe bone ,3,0.6396931,4,289,577
Insertion of stents in lung airways using an endoscope ,4,0.8186908,4,338,744
"Injection by continuous infusion of anesthetic agent, thigh nerve ",4,0.7026316,4,6603,38449
Anesthesia for removal of urinary bladder stone ,4,0.61798936,4,826,1017
Biopsy of the wall dividing the left and right heart,6,0.5274492,4,1034,8825
MRA scan of neck blood vessels,4,0.91311127,4,3630,17028
"Incision of the bladder canal (urethra) using an endoscope, female ",4,0.7583043,4,63,313
Closed treatment of shoulder dislocation with manipulation under anesthesia ,4,0.63768804,4,33,33
Examination with injections of chemical for destruction of bladder using an endoscope,4,0.87236255,4,3204,17257
"Anesthesia for procedure on skin of arms, legs, or trunk",4,0.81313276,4,69060,384128
"Incision of Achilles tendon, accessed through the skin using local anesthetic",4,0.5463396,4,458,616
"Removal of malignant growth (3.1 to 4.0 centimeters) of the face, ears, eyelids, nose, or lips",3,0.59197146,4,2554,5949
Colorectal cancer screening; colonoscopy on individual at high risk ,4,0.86247647,4,16256,358503
"Repair of wound (7.6 to 12.5 centimeters) of face, ears, eyelids, nose, lips, and/or mouth",3,0.66827965,4,1365,1596
MRI scan of leg joint,2,0.72116673,4,16012,443227
Anesthesia for procedure on lower front abdominal wall ,4,0.58537984,4,18822,26532
Biopsy of tissue of back or flank,3,0.34206283,4,44,77
"Repair of multiple toe tendons, accessed through the skin",4,0.34369376,4,458,752
Collection of donor stem cells for transplantation,4,0.64699906,4,102,192
Control of bleeding of throat requiring hospitalization ,4,0.6099403,4,104,105
Closed treatment of collar bone and shoulder joint dislocation,3,0.58301294,4,253,265
Nuclear medicine study of vessels of heart using drugs or exercise multiple studies,2,0.46130738,4,13256,1100807
Anesthesia for procedure on collar bone and shoulder blade ,4,0.5708243,4,4597,5071
"Anesthesia for open procedure on bones of lower leg, ankle and foot",4,0.7258544,4,1428,4105
"Insertion of abdominal cavity catheter for drainage or dialysis, open procedure",4,0.5537101,4,1099,2525
MRI scan of middle spinal canal with contrast ,4,0.75130963,4,683,985
Revision or removal of peripheral nerve or gastric neurostimulator generator,3,0.7796521,4,1930,3869
Injection procedure for x-ray imaging of kidney and urinary duct (ureter) using imaging guidance including radiological supervision and interpretation,3,0.46833822,4,699,994
"Injection of anesthetic agent, abdominal sympathetic nerve bundle ",3,0.5570229,4,787,1224
"Tying of varicosed veins in one leg, open procedure",5,0.35403055,4,12,36
Anesthesia for procedure on nose and sinus,4,0.7558078,4,31289,75057
Incisional removal of eyelashes,3,0.5116832,4,197,412
"Gene analysis (phosphatase and tensin homolog), duplication or deletion variant ",2,0.35614502,4,9,651
Repair of central venous catheter for infusion ,4,0.4019396,4,37,43
"MRI scan bones of the eye, face, and/or neck with contrast ",2,0.44025776,4,274,396
Drainage of rectal abscess under anesthesia,4,0.6254966,4,236,256
MRI scan of blood vessels of abdomen ,2,0.49461097,4,1973,5195
"Iodine i-125 sodium iothalamate, diagnostic, per study dose, up to 10 microcuries ",4,0.5852295,4,3,835
Closed treatment of broken spine bones with casting or bracing,4,0.8536118,4,1313,4490
Urinary system procedure,6,0.45066974,4,31,182
"Drainage, biopsy, or removal of foreign body of chest cavity",6,0.6438678,4,226,358
Closed treatment of thumb dislocation with manipulation ,4,0.80764693,4,94,95
Anesthesia for closed procedure on lower one-third of thigh bone ,4,0.5775542,4,936,962
Stomach procedure,2,0.632629,4,908,2014
Suture or repair of testicular injury ,4,0.6313207,4,11,11
Removal (1.5 centimeters or greater) muscle growth of foot or toe ,5,0.41253954,4,72,82
Release of scar tissue from conjunctiva ,6,0.50806457,4,44,190
Removal or scraping of bone cyst or growth of toes,3,0.3881424,4,180,391
Removal (less than 3 centimeters) tissue growth beneath the skin of upper arm or elbow,4,0.52238727,4,763,882
"Repair of wound (12.6 to 20.0 centimeters) of neck, hands, feet, and/or genitals",4,0.5742955,4,327,371
Drainage of infected fluid-filled sac (bursa) of leg or ankle,4,0.46153006,4,134,153
Repair of vertical lip wound extending to half of lip ,5,0.4665615,4,42,61
Insertion of left heart electrode for pacing defibrillator device,4,0.8280165,4,3271,33082
Removal of bony growth of upper jaw bone inside mouth,4,0.69175905,4,95,132
"Measurement and recording of brain wave (EEG) activity, overnight",2,0.61093235,4,100,918
Salivary gland or duct procedure,5,0.6752111,4,13,27
"Repair of toe tendon, accessed through the skin",4,0.4252811,4,1313,2535
Exploration of penetrating wound of chest ,4,0.69514436,4,75,78
Open treatment of broken toe ,6,0.44164994,4,47,59
Closed treatment of broken forearm bone with manipulation ,5,0.6043129,4,116,125
"Injection of anesthetic agent, paracervical (uterine) nerve ",2,0.7746772,4,26,28
"Diagnostic examination of bile ducts using an endoscope, accessed through the skin",4,0.54781264,4,43,48
Removal of sutures between upper and lower eyelids,3,0.71336675,4,318,520
"Home dialysis services per month, patient 12-19 years of age",5,0.4887207,4,85,153
Closed treatment of broken wrist bone ,4,0.56782895,4,613,656
"Anesthesia for open procedure on bones of lower leg, ankle and foot",4,0.72629,4,62925,307490
Treatment of incomplete abortion,4,0.8426181,4,19,19
Repair of wound of eyelid margin,4,0.36472553,4,137,222
"Nuclear medicine study of radioactive material distribution of whole body, requiring 2 or more days imaging",3,0.3324872,4,231,502
Removal of spine bone growth ,6,0.92749,4,132,151
Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the trunk,6,0.45102602,4,915,3428
Anesthesia for open or endoscopic procedure on elbow,4,0.6378591,4,180,213
Closed treatment of broken wrist bone ,4,0.56782955,4,634,676
